method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,senior,600,12,54,0.045973,92,92,0.553399,0.019728,0.125470,1.000000,6.125032
SA_MOEAD,senior,600,13,55,0.042839,92,92,0.558769,0.011454,0.117265,1.000000,12.162408
SA_MOEAD,senior,600,14,56,0.042029,92,92,0.553578,0.011413,0.105238,1.000000,7.741872
SA_MOEAD,senior,600,15,57,0.043047,95,95,0.537795,0.018487,0.102056,1.000000,9.368248
SA_MOEAD,senior,600,16,58,0.040898,85,85,0.557274,0.014471,0.095604,1.000000,13.827702
SA_MOEAD,senior,600,17,59,0.040778,86,86,0.547653,0.015058,0.107673,1.000000,8.473988
SA_MOEAD,senior,600,18,60,0.045437,94,94,0.546040,0.013644,0.120106,1.000000,10.066550
SA_MOEAD,senior,600,19,61,0.046094,92,92,0.552862,0.013927,0.116105,1.000000,12.009009
SA_MOEAD,senior,600,20,62,0.044575,96,96,0.561977,0.006888,0.120105,1.000000,6.212633
SA_MOEAD,senior,600,21,63,0.048810,88,88,0.560698,0.044261,0.115600,1.000000,18.632727
SA_MOEAD,senior,600,22,64,0.043434,90,90,0.537294,0.023097,0.100493,1.000000,9.507703
SA_MOEAD,senior,600,23,65,0.041672,82,82,0.543155,0.015823,0.100289,1.000000,13.431371
SA_MOEAD,senior,600,24,66,0.041703,57,57,0.514968,0.034803,0.123598,1.000000,6.908402
SA_MOEAD,senior,600,25,67,0.039358,84,84,0.544575,0.020432,0.092904,1.000000,7.133084
SA_MOEAD,senior,600,26,68,0.044445,71,71,0.546439,0.016215,0.098131,1.000000,12.260111
SA_MOEAD,senior,600,27,69,0.044275,95,95,0.535195,0.013382,0.108673,1.000000,7.863682
SA_MOEAD,senior,600,28,70,0.040966,94,94,0.548668,0.017593,0.114839,1.000000,7.641399
SA_MOEAD,senior,600,29,71,0.041993,88,88,0.548720,0.024503,0.101309,1.000000,10.823534
SA_MOEAD,senior,600,30,72,0.044620,99,99,0.545247,0.013662,0.118280,1.000000,7.986727
Random,child,300,1,43,0.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.004951
Random,child,300,2,44,0.004681,1,1,0.405113,0.007500,0.023463,1.000000,0.000239
Random,child,300,3,45,0.007158,1,1,0.427210,0.100000,0.041890,1.000000,0.001681
Random,child,300,4,46,0.008949,1,1,0.405113,0.092500,0.054206,1.000000,0.000210
Random,child,300,5,47,0.008136,1,1,0.464039,0.117500,0.045839,1.000000,0.001623
Random,child,300,6,48,0.012175,1,1,0.375651,0.087500,0.078570,1.000000,0.000211
Random,child,300,7,49,0.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.003024
Random,child,300,8,50,0.014453,1,1,0.441942,0.027500,0.069211,1.000000,0.000206
Random,child,300,9,51,0.004991,1,1,0.478770,0.157500,0.030439,1.000000,0.001596
Random,child,300,10,52,0.012426,1,1,0.500867,0.005000,0.050121,1.000000,0.000223
Random,child,300,11,53,0.040561,1,1,0.471405,0.005000,0.173826,1.000000,0.001636
Random,child,300,12,54,0.000000,1,1,0.331456,0.100000,-0.019145,1.000000,0.000203
Random,child,300,13,55,0.000000,1,1,0.419845,0.095000,-0.032741,1.000000,0.000204
Random,child,300,14,56,0.005301,1,1,0.486136,0.150000,0.031154,1.000000,0.002979
Random,child,300,15,57,0.019314,1,1,0.486136,0.047500,0.087801,1.000000,0.001712
Random,child,300,16,58,0.000151,1,1,0.412479,0.075000,0.000861,1.000000,0.001613
Random,child,300,17,59,0.007933,1,1,0.464039,0.067500,0.039529,1.000000,0.003035
Random,child,300,18,60,0.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.001584
Random,child,300,19,61,0.023816,1,1,0.471405,0.132500,0.137474,1.000000,0.001602
Random,child,300,20,62,0.001918,1,1,0.456673,0.062500,0.009599,1.000000,0.000208
Random,child,300,21,63,0.000000,1,1,0.375650,0.087500,-0.010482,1.000000,0.001613
Random,child,300,22,64,0.009692,1,1,0.449307,0.150000,0.061633,1.000000,0.001612
